0.0	2 Welcome
	самые интересные интеллектуальные начинания, которые вы могли бы предпринять в наше текущее время, находятся прямо на пересечении ИИ и обработки естественного языка или машинного обучения 
	и поэтому, когда мы думаем о том, что вы знаете, какие самые интересные проявления нашего человеческого интеллекта, я думаю, что язык занимает первое место в большинстве ответов 
	она очень неразрывно связана с мыслью, а также с информацией
	и вы знаете, что мы-век информации, поэтому обработка естественного языка-чрезвычайно полезная технология 
	в то же время глубокое обучение аналогично в том смысле, что оно очень широко применимо 
	вы можете сделать распознавание речи с помощью deep learning 
	вы можете сделать классификацию изображений 
	и вы можете делать много различных задач внутри обработки естественного языка 
	поэтому глубокое изучение тоже очень интересный инструмент для вас, чтобы идти вперед в вашей жизни 
	Итак, в основном мы объединяем эти два 
	таким образом, это будет интересно как с академической, так и с интеллектуальной точки зрения, а также для промышленности 
	сейчас есть много компаний, которые очень стараются нанять людей с навыками глубокого обучения 
	поэтому я надеюсь, что это поможет вам обоим, если вы решите работать в академической среде или в отрасли 
	таким образом, в основном к концу лекции вы сможете построить алгоритм, который может делать то, что вы можете видеть здесь, который может интерпретировать предложение как 
	первые 50 минут были сухими, но к концу мне очень понравилась лекция
	Итак, алгоритм здесь узнал, какой должна быть грамматическая структура этого предложения 
	и он назначил метку, которая в этом случае оказывается меткой настроения - каждая фраза этого предложения 
	и в основном даст вам представление о том, почему дерево выглядит так, как оно делает, и почему оно назначает эти положительные и отрицательные метки 
	Итак, что здесь удивительно, нам не нужно было в конечном итоге говорить, что у вас есть так называемое контрастное имя соединения, но 
	но на самом деле нам просто нужно было привести много примеров 
	и мне удалось узнать, что действительно можно сказать, что первая часть отрицательная 
	и вы знаете, что первые 15 минут это нейтральная фраза 
	и когда ты говоришь, что они были сухими, это становится отрицательным. 
	и тогда у вас есть контрастное соединение, что обычно 
	что обычно означает, что то, что происходит после, имеет большее значение в общей интерпретации предложения 
	ничего из этого мы не должны явно сказать алгоритму, но он сможет его забрать 
	и вы будете обучать алгоритмы, которые смогут это сделать 
	и так же, как говорится в предложении, мы начнем с пары скучных логистики 
	но вы знаете, что они важны для вас, чтобы понять, что происходит в будущем 
	и тогда мы на самом деле введем в почти смехотворно короткий промежуток времени обработку естественного языка глубокое обучение и пересечение двух
2.49	3 Course Logistcs
	так что давай нырнем. 
	меня зовут Ричард 
	так что я действительно получил докторскую степень в Стэнфорде в прошлом году и работаю над глубоким обучением для обработки естественного языка и немного компьютерного зрения 
	Теперь я основатель и технический директор meta mind, который является стартапом, который также занимается глубоким обучением 
	для этих двух областей применения у нас есть три удивительных TAS 
	может, они машут руками 
	мы вернем Йена в камеру, франкуа и Пун прямо там. 
	так что у нас будет по крайней мере четыре рабочих часа. 
	если зачисление останется таким же высоким, как сейчас, возможно, мы получим четвертый, потому что это будет много оценок иначе для вас троих 
	Мне жаль, что нам пришлось изменить время на месте, у нас изначально была комната из 60 человек, и теперь у нас есть сто студентов 60 человек, поэтому нам пришлось переехать в это 
	Надеюсь, все не так плохо. 
	мы постараемся сделать все возможное, чтобы записать все лекции на видео и поместить их 
	нам все еще нужно выяснить, можем ли мы просто поместить их на YouTube 
	ну скоро узнаем, надеюсь, на этой неделе у нас будет много заданий  
	Итак, в основном три набора задач, которые заставят вас в основном программировать эти алгоритмы 
	и будет промежуточный и итоговый проект 
	и на самом деле окончательный проект-это то, что вы можете начать думать о том, чтобы начать сегодня 
	это будет важной частью и, надеюсь, как мы идем за кучей приложений
	ты увидишь, ты знаешь, что у тебя есть некоторые идеи о том, что ты хочешь сделать.
	вы можете найти наши часы работы
	а вскоре и офисные часовые локации на сайте 
	Мне жаль, что, вероятно, не будет никаких заметок курса 
	но мы разместим слайды и видео вскоре после этого 
	и если я на вершине своих вещей, может быть, даже до лекции
4.35	5 Grading Policy
	таким образом, оценки для тех из вас, кто не сдает/не сдает, у нас в основном есть три набора задач, которые рассчитаны примерно на 1/2, а промежуточный экзамен-15% 
	промежуточный экзамен мы хотим убедиться, что вы действительно понимаете некоторые из самых основ математики за тем, что вы программируете в наборах задач 
	итоговый проект составит 40% 
	у нас есть веха, и обычно, когда вы начинаете свое определение проекта, вы говорите: "о, я собираюсь решить НЛП, это будет так здорово и эпично 
	и тогда у нас есть вехи 
	и то, что мы часто получаем 
	Я был TA для 229 в классах машинного обучения 
	мы с трудом собираем данные. 
	и это на самом деле очень распространенная проблема 
	многие из этих алгоритмов нужно много данных и проблемы хранения большого количества данных может не поместиться на вашем ноутбуке 
	возможно, Вам понадобятся другие машины 
	поэтому мы дадим вам два бонусных балла или процента от всего класса 
	если у вас есть данные готовы и запустить один эксперимент может быть просто простой базовой линии 
	если у вас действительно есть некоторые опыты, проделанные во время этапа 
	и тогда окончательный проект и презентация будут иметь презентацию плаката вместо того, что окончательный будет 35 процентов 
	есть ли какие-либо вопросы до сих пор 
	в порядке 
	так что да, бонусные баллы также за исключительные стендовые доклады  
	мы стараемся не слышать о твоей бабушке. 
	так что мы дадим тебе семь свободных дней. 
	вы можете использовать их, как вам угодно, за исключением того, что вы можете использовать только три для одного набора проблем за раз 
	поэтому через три дня мы хотим в основном поговорить о решениях в рабочее время 
	и хотите переместить класс, потому что следующая проблема будет: Знаете ли вы две недели спустя 
	и часто они строили друг на друге. 
	таким образом, вы хотите иметь возможность поделиться решением 
	таким образом, вы можете включить свои проблемы не более трех трех дней спустя после того, как вы либо превысите их 
	или ты ее нет 
	так что, как только ты сдашь его поздно, он исчезнет. 
	если вы превысите свои семь последних дней, вы потеряете 25% в конце дня после этого 
	и это, к сожалению, не может применяться к окончательному проекту курса, потому что мы должны поставить оценки в систему 
	так что политика сотрудничества Стэнфорда в последнее время попала в новости не так приятно 
	поэтому, пожалуйста, прочитайте свою кодовую книгу и Кодекс чести, очевидно, вы можете знать, говорить о вещах во время лекции и вашего понимания 
	но вы должны записать собственное решение 
	а главное придется программировать ваше собственное решение, а не пытаться найти какой-то код где-то в интернете или что-то подобное 
	на финальном проекте можно реально работать в командах из двух человек 
	и возможно, если у вас действительно амбициозный проект 
	и у вас есть очень четкое представление о том, что происходит. 
	мы можем сделать исключение и три 
	но в идеале вы будете просто двумя, потому что иначе трудно объяснить, кто что сделал 
	в порядке 
	любые вопросы по поводу всех оценок
	6 High Level Plan for Problem Sets
7.32	4 Pre-requisites
	отличный 
	ладно 
	Итак, предпосылки 
	на очень высоком уровне я скорее <буду сотрясать> воздух и некоторые люди решат <что это> скучно в начале 
	и вы знаете, убедитесь, что все получают самые основы математики и программирования 
	так что если вы взяли все предпосылки, и у вас есть плюсы во всех из них 
	и ты знаешь, что все это было довольно скучно, потому что ты уже вроде как знал это. 
	к сожалению, вам будет немного скучно в первом, как несколько лекций, может быть, два 
	то, что я увидел, - это то, что лучше ошибаться на этой стороне, и тогда мы можем, Вы знаете, наращивать скорость, когда мы идем к более сложным моделям 
	как только вы узнаете некоторые из основных строительных блоков от глубокого обучения 
	вы можете очень быстро собрать их вместе интересными новыми способами 
	это что-то вроде Лего. 
	вам просто нужно понять, как они собираются вместе, а затем строить удивительные вещи 
	так что, как говорится, вам будет легче, если вы владеете Python 
	все задания будут в Python  
	будет использовать numpy, но, очевидно, не пакеты, как я мог бы узнать 
	потому что это то, чему мы хотим научиться сами. 
	так что мы будем вы знаете, предоставить учебник здесь на самом деле от предыдущего класса до 31 и и 
	поэтому позвольте мне спросить в комнате, кто хочет освежить Python, чтобы убедиться, что их можно запустить 
	поднимать руку 
	окей 
	кто не нуждается в освежения кожи питона  
	в порядке 
	Ну, похоже, что есть очень мало людей, которым это действительно нужно 
	так что, может быть, те люди в интересах нашего времени TA, я могу просто поговорить с некоторыми из TAS, они всего лишь горстка поднятых рук, хмм ...  
	и да в рабочее время конечно 
	да ладно 
	исчисление на уровне колледжа и линейная алгебра будут отличными 
	так кто здесь знает сингулярное разложение  
	ладно 
	Я ... это ... это потрясающе! 
	в порядке 
	ты отлично проведешь время в среду. 
	потому что мы предположим, что вы знаете SVD, и мы можем быстрее перейти к нейронным сетям 
	поэтому базовая вероятность и статистика также хороши 
	вам не нужно знать сумасшедшие меры Лебега или что-нибудь для глубокого обучения 
	но зная, какова вероятность журнала и такие вещи, которые сделают вашу жизнь намного проще 
	и действительно, если вы полностью поняли CS 229 во всех его кровавых деталях
	вам будет намного проще в целом концептуально перемещаться по этому классу 
	у нас будет много функций затрат, и в основном, как только мы запишем нашу функцию затрат, все остальное будет довольно просто 
	вы берете производные своего рода кучу матричных умножений 
	а затем вы запускаете алгоритм оптимизации, такой как градиентный спуск 
	любые вопросы по предпосылкам
10.20	7 What is Natural Language Processing (NLP)?
	в порядке 
	так это была скучная часть 
	и я очень надеюсь на то, что руки будут подняты так высоко. 
	что мы можем двигаться несколько быстро через ранние части материала класса 
	так что такое обработка естественного языка  
	опять же, это очень короткие описания, и в некотором смысле это все еще достаточно молодая область 
	таким образом, определение немного субъективно 
	но большинство людей, я думаю, согласятся с минимальным подмножеством здесь
	Я описываю, что обработка естественного языка является областью на пересечении информатики, искусственного интеллекта и лингвистики
	вы часто найдете исследователей, работающих в НЛП, которые будут связаны с такими отделами 
	и вы знаете, в некоторых случаях некоторые университеты имеют искусственный интеллект, или отдел обучения машины и в большинстве случаев ИИ является своеобразной частью информатики 
	таким образом, основная цель НЛП или обработки естественного языка заключается в том, чтобы компьютеры понимали и обрабатывали естественный язык для выполнения полезных задач 
	и в большинстве случаев полезны нам, как людям 
	например, ответ на вопрос 
	конечно, хитрость в том, и причина, по которой я ставлю кавычки, в том, что компьютеры на самом деле не понимают язык так, как мы понимаем язык 
	вы много знаете о лингвистических знаниях, мировых знаниях и связях с мышлением и планированием, и вы знаете, что любите жизнь и счастье 
	и все это будет очень трудно для компьютера, чтобы полностью понять и оценить язык 
	так мы и есть на самом деле много интересного в философии языка 
	и вы можете провести много-много часов, читая о Фригге и Виткенштейне и много философии языка 
	что мы не будем делать в этом классе  
