1995-71-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О введении в действие Арбитражного-процессуального кодекса РФ»
2002-96-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О введении в действие Арбитражного-процессуального кодекса РФ»
2013-61-ФЗ-2	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в Гражданский-процессуальный кодекс РФ и статью 143 Арбитражного-процессуального кодекса РФ»
2017-147-ФЗ-2	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в статьи 1252 и 1486 Гражданский-часть-четвертая кодекса РФ и статьи 4 и 99 Арбитражного-процессуального кодекса РФ»
2016-137-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в статьи 153.1 и 159 Арбитражного-процессуального кодекса РФ»
2008-229-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в статьи 19 и 21 Арбитражного-процессуального кодекса РФ»
2013-126-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в статьи 29 и 191 Арбитражного-процессуального кодекса РФ»
2012-317-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в статьи 29 и 194 Арбитражного-процессуального кодекса РФ»
2008-138-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в статьи 38 и 39 Арбитражного-процессуального кодекса РФ»
2015-72-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в статью 323 Арбитражного-процессуального кодекса РФ»
2011-210-ФЗ-2	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений в ФЗ „О несостоятельности (банкротстве)“ и статьи 17 и 223 Арбитражного-процессуального кодекса РФ в части установления особенностей банкротства застройщиков, привлекавших денежные средства участников строительства»
1997-144-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменений и дополнений в законы и иные правовые акты РФ в связи с принятием Федерального конституционного закона „Об арбитражных судах в РФ“ и Арбитражного-процессуального кодекса РФ»
2014-527-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменения в статью 121 Арбитражного-процессуального кодекса РФ»
2017-76-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменения в статью 196 Арбитражного-процессуального кодекса РФ»
2015-195-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменения в статью 3 Арбитражного-процессуального кодекса РФ»
2004-80-ФЗ-	«Арбитражного-процессуального кодекса РФ»	-	«О внесении изменения в статью 59 Арбитражного-процессуального кодекса РФ»
1999-159-ФЗ-	«Бюджетного кодекса РФ»	-	«О введении в действие Бюджетного кодекса РФ»
