P (SHIFT+p)	Перейти к предыдущему видео
N (SHIFT+n)	Перейти к следующему видео

k		Приостановить или продолжить воспроизведение
j		Перемотать ролик на 10 секунд назад
l		Перемотать ролик на 10 секунд вперед
LEFT		Перемотать ролик на 5 секунд назад
RIGHT		Перемотать ролик на 5 секунд вперед
,		Перемотать видео назад с минимальным шагом, когда воспроизведение приостановлено
.		Перемотать видео вперед с минимальным шагом, когда воспроизведение приостановлено
< (SHIFT+,)	Уменьшить скорость воспроизведения
> (SHIFT+.)	Увеличить скорость воспроизведения

m		Включить или отключить звук
UP		Увеличить громкость на 5%
DOWN		Уменьшить громкость на 5%

f		Включить или выключить полноэкранный режим
? (SHIFT+.)	справка по клавишам
ESCAPE		Закрыть одно или несколько диалоговых окон на панели


HOME		Перейти к началу ролика
END		Перейти к концу видео
0..9		Перейти к определенному моменту видео (например, при нажатии на цифру "7" ролик будет перемотан до временной отметки, которая соответствует 70% от длительности видео)

c		Включить или отключить субтитры
o		Настроить прозрачность текста
w		Настроить прозрачность окна
+		Увеличить размер шрифта
-		Уменьшить размер шрифта

w		Для панорамных видео: посмотреть вверх
a		Для панорамных видео: посмотреть влево
s		Для панорамных видео: посмотреть вниз
d		Для панорамных видео: посмотреть вправо
+ on numpad or ]Увеличить масштаб панорамного видео
- on numpad or [Уменьшить масштаб панорамного видео
